age_years,best_deal_platform,best_price,condition_score,fuel_type,kms_reading,location,make,model,price_cardekho,price_cartrade,price_carwale,price_olx,price_per_km,price_sahivalue,price_spinny,scraped_at,source_platforms,transmission,variant,vehicle_id,year
8,cartrade,227013,0.52,CNG,71266,"Bangalore, Karnataka",Renault,Unknown,,227013,,,3.19,,,2025-07-02T11:51:37.821909,cartrade,AMT,Base,cartrade_000000,2016
3,sahivalue,370955,0.68,Electric,33839,"Nagpur, Maharashtra",Maruti Suzuki,Dzire,,,,,10.96,370955,,2025-07-02T11:51:37.821909,sahivalue,Automatic,VX,sahivalue_000001,2021
2,carwale,929806,0.71,Petrol,23551,"Pune, Maharashtra",Toyota,Corolla,,,929806,,39.48,,,2025-07-02T11:51:37.821909,carwale,AMT,Base,carwale_000002,2022
4,sahivalue,477321,0.54,Diesel,68219,"Pune, Maharashtra",Kia,Unknown,,,,,7.0,477321,,2025-07-02T11:51:37.821909,sahivalue,CVT,Top,sahivalue_000003,2020
6,cartrade,331171,0.44,Electric,109415,"Bangalore, Karnataka",Hyundai,Elantra,,331171,,,3.03,,,2025-07-02T11:51:37.821909,cartrade,Manual,SX,cartrade_000004,2018
1,spinny,663973,0.56,Hybrid,23678,"Kanpur, Uttar Pradesh",Nissan,Unknown,,,,,28.04,,663973,2025-07-02T11:51:37.821909,spinny,Manual,Mid,spinny_000005,2023
7,cartrade,237029,0.48,CNG,96088,"Mumbai, Maharashtra",Hyundai,i20,,237029,,,2.47,,,2025-07-02T11:51:37.821909,cartrade,CVT,ZX,cartrade_000006,2017
8,carwale,291356,0.51,Electric,74279,"Hyderabad, Telangana",Volkswagen,Unknown,,,291356,,3.92,,,2025-07-02T11:51:37.821909,carwale,CVT,SX,carwale_000007,2016
4,cardekho,456014,0.49,Petrol,78010,"Ahmedabad, Gujarat",MG,Unknown,456014,,,,5.85,,,2025-07-02T11:51:37.821909,cardekho,AMT,Mid,cardekho_000008,2020
5,cardekho,241120,0.5,Petrol,83239,"Nagpur, Maharashtra",Maruti Suzuki,Dzire,241120,,,,2.9,,,2025-07-02T11:51:37.821909,cardekho,CVT,Mid,cardekho_000009,2019
8,cardekho,836820,0.36,CNG,143168,"Hyderabad, Telangana",Mercedes-Benz,C-Class,836820,,,,5.85,,,2025-07-02T11:51:37.821909,cardekho,Manual,ZX,cardekho_000010,2016
2,spinny,466533,0.63,Diesel,32183,"Thane, Maharashtra",Maruti Suzuki,Ciaz,,,,,14.5,,466533,2025-07-02T11:51:37.821909,spinny,Automatic,Base,spinny_000011,2022
8,cardekho,198264,0.39,Electric,130424,"Jaipur, Rajasthan",MG,Unknown,198264,,,,1.52,,,2025-07-02T11:51:37.821909,cardekho,AMT,LX,cardekho_000012,2016
8,spinny,691906,0.5,Electric,80694,"Visakhapatnam, Andhra Pradesh",BMW,Z4,,,,,8.57,,691906,2025-07-02T11:51:37.821909,spinny,Manual,ZX,spinny_000013,2016
0,carwale,2608165,1.0,CNG,0,"Bangalore, Karnataka",BMW,i8,,,2608165,,2608165.0,,,2025-07-02T11:51:37.821909,carwale,AMT,Base,carwale_000014,2024
0,spinny,831476,1.0,Electric,0,"Delhi, Delhi",Skoda,Unknown,,,,,831476.0,,831476,2025-07-02T11:51:37.821909,spinny,Manual,LX,spinny_000015,2024
1,olx,733422,0.67,Electric,16411,"Lucknow, Uttar Pradesh",Kia,Unknown,,,,733422,44.69,,,2025-07-02T11:51:37.821909,olx,AMT,SX,olx_000016,2023
9,sahivalue,201944,0.4,Petrol,119167,"Kanpur, Uttar Pradesh",Kia,Unknown,,,,,1.69,201944,,2025-07-02T11:51:37.821909,sahivalue,Manual,EX,sahivalue_000017,2015
2,cardekho,538631,0.74,Diesel,19830,"Indore, Madhya Pradesh",Jeep,Unknown,538631,,,,27.16,,,2025-07-02T11:51:37.821909,cardekho,CVT,SX,cardekho_000018,2022
6,spinny,320440,0.43,CNG,111166,"Hyderabad, Telangana",Nissan,Unknown,,,,,2.88,,320440,2025-07-02T11:51:37.821909,spinny,Manual,SX,spinny_000019,2018
7,sahivalue,179890,0.53,CNG,73380,"Indore, Madhya Pradesh",Maruti Suzuki,Dzire,,,,,2.45,179890,,2025-07-02T11:51:37.821909,sahivalue,Automatic,VX,sahivalue_000020,2017
9,carwale,636017,0.34,CNG,153348,"Thane, Maharashtra",Mercedes-Benz,GLC,,,636017,,4.15,,,2025-07-02T11:51:37.821909,carwale,CVT,EX,carwale_000021,2015
1,carwale,523056,0.85,Diesel,6004,"Visakhapatnam, Andhra Pradesh",Maruti Suzuki,Vitara Brezza,,,523056,,87.12,,,2025-07-02T11:51:37.821909,carwale,Manual,Mid,carwale_000022,2023
1,carwale,497766,0.78,Diesel,10194,"Kanpur, Uttar Pradesh",Maruti Suzuki,WagonR,,,497766,,48.83,,,2025-07-02T11:51:37.821909,carwale,Manual,VX,carwale_000023,2023
2,cartrade,1881791,0.67,CNG,28329,"Ahmedabad, Gujarat",Audi,Q5,,1881791,,,66.43,,,2025-07-02T11:51:37.821909,cartrade,Automatic,LX,cartrade_000024,2022
5,cartrade,291687,0.53,Hybrid,75568,"Thane, Maharashtra",Maruti Suzuki,Ertiga,,291687,,,3.86,,,2025-07-02T11:51:37.821909,cartrade,Automatic,VX,cartrade_000025,2019
7,spinny,888780,0.38,Hybrid,135183,"Delhi, Delhi",Mercedes-Benz,S-Class,,,,,6.57,,888780,2025-07-02T11:51:37.821909,spinny,CVT,VX,spinny_000026,2017
4,sahivalue,381436,0.63,Electric,46507,"Kanpur, Uttar Pradesh",Chevrolet,Unknown,,,,,8.2,381436,,2025-07-02T11:51:37.821909,sahivalue,Automatic,VX,sahivalue_000027,2020
2,cardekho,594289,0.71,Electric,23671,"Delhi, Delhi",Chevrolet,Unknown,594289,,,,25.11,,,2025-07-02T11:51:37.821909,cardekho,AMT,ZX,cardekho_000028,2022
3,spinny,389211,0.67,Electric,35546,"Visakhapatnam, Andhra Pradesh",Maruti Suzuki,Swift,,,,,10.95,,389211,2025-07-02T11:51:37.821909,spinny,AMT,Mid,spinny_000029,2021
2,olx,779043,0.7,Hybrid,24836,"Visakhapatnam, Andhra Pradesh",Honda,CR-V,,,,779043,31.37,,,2025-07-02T11:51:37.821909,olx,CVT,EX,olx_000030,2022
5,sahivalue,374128,0.48,CNG,89002,"Nagpur, Maharashtra",Nissan,Unknown,,,,,4.2,374128,,2025-07-02T11:51:37.821909,sahivalue,Manual,ZX,sahivalue_000031,2019
1,cardekho,2685436,0.79,CNG,9667,"Bhopal, Madhya Pradesh",Mercedes-Benz,C-Class,2685436,,,,277.79,,,2025-07-02T11:51:37.821909,cardekho,Automatic,EX,cardekho_000032,2023
1,sahivalue,722614,0.74,Diesel,12121,"Visakhapatnam, Andhra Pradesh",Chevrolet,Unknown,,,,,59.62,722614,,2025-07-02T11:51:37.821909,sahivalue,CVT,LX,sahivalue_000033,2023
9,cardekho,623903,0.33,Hybrid,159428,"Kolkata, West Bengal",Audi,A3,623903,,,,3.91,,,2025-07-02T11:51:37.821909,cardekho,Automatic,SX,cardekho_000034,2015
6,olx,978786,0.42,Diesel,115812,"Delhi, Delhi",Audi,A4,,,,978786,8.45,,,2025-07-02T11:51:37.821909,olx,AMT,VX,olx_000035,2018
2,olx,1783724,0.62,Petrol,33703,"Lucknow, Uttar Pradesh",BMW,X5,,,,1783724,52.92,,,2025-07-02T11:51:37.821909,olx,AMT,LX,olx_000036,2022
